current_time,weather,temp,humidity
2025-07-15 04-43-27,Clouds,23.97,73
2025-07-15 05-02-39,Clouds,23.97,73
2025-07-15 05-36-30,Clouds,25.41,67
2025-07-15 05-53-36,Clouds,25.41,67
2025-07-15 06-27-27,Clouds,25.41,67
2025-07-15 06-55-45,Clouds,24.74,72
2025-07-15 07-24-29,Clouds,24.74,72
2025-07-15 07-43-35,Clouds,24.79,67
2025-07-15 07-54-13,Clouds,24.79,67
2025-07-15 08-26-33,Clouds,24.79,67
2025-07-15 08-57-47,Clouds,26.76,74
2025-07-15 09-33-09,Clouds,26.76,69
2025-07-15 09-52-49,Clouds,26.76,69
2025-07-15 10-16-47,Clouds,26.76,69
2025-07-15 10-43-58,Clear,24.76,78
2025-07-15 10-57-31,Clear,24.76,78
2025-07-15 11-24-10,Clouds,23.76,88
2025-07-15 11-40-03,Clouds,23.76,88
2025-07-15 11-50-50,Clouds,23.76,88
2025-07-15 12-21-49,Rain,23.9,79
2025-07-15 13-09-17,Clouds,23.76,94
2025-07-15 13-49-09,Clouds,23.76,94
2025-07-15 14-10-11,Clouds,23.12,91
2025-07-15 14-37-00,Clouds,23.76,94
2025-07-15 14-53-37,Clouds,23.76,94
2025-07-15 15-17-08,Clouds,23.32,90
2025-07-15 15-39-57,Clouds,23.76,100
2025-07-15 15-53-36,Clouds,23.76,100
2025-07-15 16-22-41,Clouds,22.76,100
2025-07-15 16-50-01,Clouds,22.76,100
2025-07-15 17-08-57,Clouds,22.76,100
2025-07-15 17-34-22,Clouds,23.76,100
2025-07-15 17-49-52,Clouds,23.76,100
2025-07-15 18-12-45,Clouds,22.81,89
2025-07-15 18-47-49,Clouds,23.76,100
2025-07-15 19-08-07,Clouds,23.76,100
2025-07-15 19-29-23,Rain,23.76,100
2025-07-15 19-44-23,Rain,23.76,100
2025-07-15 19-55-17,Rain,23.76,100
2025-07-15 20-25-12,Clouds,23.78,88
2025-07-15 20-45-25,Rain,23.76,100
2025-07-15 20-57-26,Clouds,23.76,100
2025-07-15 21-25-55,Mist,22.76,100
2025-07-15 21-42-39,Mist,22.76,100
2025-07-15 21-53-29,Mist,22.76,100
2025-07-15 22-17-17,Mist,22.76,100
2025-07-15 22-41-25,Mist,23.76,100
2025-07-15 22-54-01,Mist,23.76,100
2025-07-15 23-17-29,Clouds,24.41,92
2025-07-15 23-35-56,Clouds,22.76,100
2025-07-15 23-50-55,Clouds,22.76,100
2025-07-16 00-56-25,Clouds,22.76,100
2025-07-16 02-57-10,Rain,22.76,100
2025-07-16 04-00-43,Rain,23.76,94
2025-07-16 04-46-26,Rain,23.76,88
2025-07-16 05-14-30,Rain,23.76,88
2025-07-16 05-44-35,Rain,22.76,100
2025-07-16 05-57-27,Rain,22.76,100
2025-07-16 06-40-43,Rain,22.76,100
2025-07-16 07-00-20,Rain,22.76,100
2025-07-16 07-30-18,Rain,21.76,100
2025-07-16 07-46-38,Rain,21.76,100
2025-07-16 07-57-30,Rain,21.76,100
2025-07-16 08-36-47,Rain,22.76,100
2025-07-16 08-58-24,Rain,22.76,100
2025-07-16 09-34-01,Rain,21.76,100
2025-07-16 09-52-21,Rain,22.87,95
2025-07-16 10-15-50,Rain,21.76,100
